what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1258099982759
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1258099982978
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1258099985619
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1258099986009
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1258099990744
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1258099998931
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1258099999134
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1258099999947
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1258100000228
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1258100000978
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1258100001181
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1258100004759
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1258100014228
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1258100014431
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1258100015103
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1258100015462
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1258100016244
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1258100016525
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1258100042712
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1258100043384
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1258100045447
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1258100051166
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1258100085806
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1258100093244
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1258100096150
